,Symbol
0,MMM
1,AOS
2,ABT
3,ABBV
4,ACN
5,ATVI
6,ADM
7,ADBE
8,ADP
9,AES
10,AFL
11,A
12,APD
13,AKAM
14,ALK
15,ALB
16,ARE
17,ALGN
18,ALLE
19,LNT
20,ALL
21,GOOGL
22,GOOG
23,MO
24,AMZN
25,AMCR
26,AMD
27,AEE
28,AAL
29,AEP
30,AXP
31,AIG
32,AMT
33,AWK
34,AMP
35,AME
36,AMGN
37,APH
38,ADI
39,ANSS
40,AON
41,APA
42,AAPL
43,AMAT
44,APTV
45,ACGL
46,ANET
47,AJG
48,AIZ
49,T
50,ATO
51,ADSK
52,AZO
53,AVB
54,AVY
55,AXON
56,BKR
57,BALL
58,BAC
59,BBWI
60,BAX
61,BDX
62,WRB
63,BRK.B
64,BBY
65,BIO
66,TECH
67,BIIB
68,BLK
69,BK
70,BA
71,BKNG
72,BWA
73,BXP
74,BSX
75,BMY
76,AVGO
77,BR
78,BRO
79,BF.B
80,BG
81,CHRW
82,CDNS
83,CZR
84,CPT
85,CPB
86,COF
87,CAH
88,KMX
89,CCL
90,CARR
91,CTLT
92,CAT
93,CBOE
94,CBRE
95,CDW
96,CE
97,COR
98,CNC
99,CNP
100,CDAY
101,CF
102,CRL
103,SCHW
104,CHTR
105,CVX
106,CMG
107,CB
108,CHD
109,CI
110,CINF
111,CTAS
112,CSCO
113,C
114,CFG
115,CLX
116,CME
117,CMS
118,KO
119,CTSH
120,CL
121,CMCSA
122,CMA
123,CAG
124,COP
125,ED
126,STZ
127,CEG
128,COO
129,CPRT
130,GLW
131,CTVA
132,CSGP
133,COST
134,CTRA
135,CCI
136,CSX
137,CMI
138,CVS
139,DHI
140,DHR
141,DRI
142,DVA
143,DE
144,DAL
145,XRAY
146,DVN
147,DXCM
148,FANG
149,DLR
150,DFS
151,DIS
152,DG
153,DLTR
154,D
155,DPZ
156,DOV
157,DOW
158,DTE
159,DUK
160,DD
161,DXC
162,EMN
163,ETN
164,EBAY
165,ECL
166,EIX
167,EW
168,EA
169,ELV
170,LLY
171,EMR
172,ENPH
173,ETR
174,EOG
175,EPAM
176,EQT
177,EFX
178,EQIX
179,EQR
180,ESS
181,EL
182,ETSY
183,EG
184,EVRG
185,ES
186,EXC
187,EXPE
188,EXPD
189,EXR
190,XOM
191,FFIV
192,FDS
193,FICO
194,FAST
195,FRT
196,FDX
197,FITB
198,FSLR
199,FE
200,FIS
201,FI
202,FLT
203,FMC
204,F
205,FTNT
206,FTV
207,FOXA
208,FOX
209,BEN
210,FCX
211,GRMN
212,IT
213,GEHC
214,GEN
215,GNRC
216,GD
217,GE
218,GIS
219,GM
220,GPC
221,GILD
222,GL
223,GPN
224,GS
225,HAL
226,HIG
227,HAS
228,HCA
229,PEAK
230,HSIC
231,HSY
232,HES
233,HPE
234,HLT
235,HOLX
236,HD
237,HON
238,HRL
239,HST
240,HWM
241,HPQ
242,HUM
243,HBAN
244,HII
245,IBM
246,IEX
247,IDXX
248,ITW
249,ILMN
250,INCY
251,IR
252,PODD
253,INTC
254,ICE
255,IFF
256,IP
257,IPG
258,INTU
259,ISRG
260,IVZ
261,INVH
262,IQV
263,IRM
264,JBHT
265,JKHY
266,J
267,JNJ
268,JCI
269,JPM
270,JNPR
271,K
272,KVUE
273,KDP
274,KEY
275,KEYS
276,KMB
277,KIM
278,KMI
279,KLAC
280,KHC
281,KR
282,LHX
283,LH
284,LRCX
285,LW
286,LVS
287,LDOS
288,LEN
289,LNC
290,LIN
291,LYV
292,LKQ
293,LMT
294,L
295,LOW
296,LYB
297,MTB
298,MRO
299,MPC
300,MKTX
301,MAR
302,MMC
303,MLM
304,MAS
305,MA
306,MTCH
307,MKC
308,MCD
309,MCK
310,MDT
311,MRK
312,META
313,MET
314,MTD
315,MGM
316,MCHP
317,MU
318,MSFT
319,MAA
320,MRNA
321,MHK
322,MOH
323,TAP
324,MDLZ
325,MPWR
326,MNST
327,MCO
328,MS
329,MOS
330,MSI
331,MSCI
332,NDAQ
333,NTAP
334,NFLX
335,NWL
336,NEM
337,NWSA
338,NWS
339,NEE
340,NKE
341,NI
342,NDSN
343,NSC
344,NTRS
345,NOC
346,NCLH
347,NRG
348,NUE
349,NVDA
350,NVR
351,NXPI
352,ORLY
353,OXY
354,ODFL
355,OMC
356,ON
357,OKE
358,ORCL
359,OGN
360,OTIS
361,PCAR
362,PKG
363,PANW
364,PARA
365,PH
366,PAYX
367,PAYC
368,PYPL
369,PNR
370,PEP
371,PFE
372,PCG
373,PM
374,PSX
375,PNW
376,PXD
377,PNC
378,POOL
379,PPG
380,PPL
381,PFG
382,PG
383,PGR
384,PLD
385,PRU
386,PEG
387,PTC
388,PSA
389,PHM
390,QRVO
391,PWR
392,QCOM
393,DGX
394,RL
395,RJF
396,RTX
397,O
398,REG
399,REGN
400,RF
401,RSG
402,RMD
403,RVTY
404,RHI
405,ROK
406,ROL
407,ROP
408,ROST
409,RCL
410,SPGI
411,CRM
412,SBAC
413,SLB
414,STX
415,SEE
416,SRE
417,NOW
418,SHW
419,SPG
420,SWKS
421,SJM
422,SNA
423,SEDG
424,SO
425,LUV
426,SWK
427,SBUX
428,STT
429,STLD
430,STE
431,SYK
432,SYF
433,SNPS
434,SYY
435,TMUS
436,TROW
437,TTWO
438,TPR
439,TRGP
440,TGT
441,TEL
442,TDY
443,TFX
444,TER
445,TSLA
446,TXN
447,TXT
448,TMO
449,TJX
450,TSCO
451,TT
452,TDG
453,TRV
454,TRMB
455,TFC
456,TYL
457,TSN
458,USB
459,UDR
460,ULTA
461,UNP
462,UAL
463,UPS
464,URI
465,UNH
466,UHS
467,VLO
468,VTR
469,VRSN
470,VRSK
471,VZ
472,VRTX
473,VFC
474,VTRS
475,VICI
476,V
477,VMC
478,WAB
479,WBA
480,WMT
481,WBD
482,WM
483,WAT
484,WEC
485,WFC
486,WELL
487,WST
488,WDC
489,WRK
490,WY
491,WHR
492,WMB
493,WTW
494,GWW
495,WYNN
496,XEL
497,XYL
498,YUM
499,ZBRA
500,ZBH
501,ZION
502,ZTS
