Ticker,BondName,Morningstar Category,Taxonomy,Price,Shares, Value ,Portfolio
IVV,iShares Core S&P 500 ETF,Large Blend,U.S. Equities ,,," 2,000 ",
VONG,Vanguard Russell 1000 Growth ETF,Large Growth,U.S. Equities ,,," 1,000 ",
SCHD,Schwab US Dividend Equity ETF™,Large Value,U.S. Equities ,,," 2,000 ",
USXF,iShares® ESG Advanced MSCI USA ETF,Large Growth,U.S. Equities ,,,,
IMCB,iShares Morningstar Mid-Cap ETF,Mid-Cap Blend,U.S. Equities ,,," 2,000 ",
VO,Vanguard Mid-Cap ETF,Mid-Cap Blend,U.S. Equities ,,," 1,500 ",
FOVL,iShares Focused Value Factor ETF,Mid-Cap Value,U.S. Equities ,,,,
FSMD,Fidelity® Small-Mid Multifactor ETF,Small Blend,U.S. Equities ,,," 1,000 ",
VBR,Vanguard Small-Cap Value ETF,Small Value,U.S. Equities ,,," 1,000 ",
VIGI,Vanguard Intl Div Apprec ETF,Foreign Large Growth,International Equities ,,," 2,000 ",
JPEM,JPMorgan Diversified Return EMkts Eq ETF,Diversified Emerging Mkts,Emerging Market Equities ,,," 3,750 ",
ISCF,iShares MSCI Intl Small-Cap Mltfct ETF,Foreign Small/Mid Blend,International Equities ,,," 1,000 ",
IGRO,iShares International Dividend Gr ETF,Foreign Large Blend,International Equities ,,, 750 ,
VNQ,Vanguard Real Estate ETF,Vanguard Real Estate Index,Publicly Traded REITs    ,,, 600 ,
DFAR,Dimensional US Real Estate ETF,,Publicly Traded REITs    ,,, 600 ,
FREL,Fidelity® MSCI Real Estate ETF,,Publicly Traded REITs    ,,, 600 ,
JPRE,JPMorgan Realty Income ETF],,Publicly Traded REITs    ,,, 450 ,
MMIN,IQ MacKay Municipal Insured ETF,Muni National Long,Very-High-Quality Municipal Bonds,,," 2,000 ",
MFLX,First Trust Flexible Muncpl Hgh Inc ETF,Muni National Long,Very-High-Quality Municipal Bonds,,,,
MEAR,iShares Short Maturity Municipal Bd ETF,Muni National Short,Very-High-Quality Municipal Bonds,,," 2,000 ",
SMMU,PIMCO Short Term Municipal Bond Actv ETF,Muni National Short,Very-High-Quality Municipal Bonds,,,,
MMIT,IQ MacKay Municipal Intermediate ETF,Muni National Interm,Very-High-Quality Municipal Bonds,,," 2,000 ",
MUNI,PIMCO Intermediate Municipal Bd Actv ETF,Muni National Interm,Very-High-Quality Municipal Bonds,,,,
SNDPX,AB Diversified Municipal,Muni National Short,Very-High-Quality Municipal Bonds,,," 2,000 ",
GWMTX,AMG GW&K Municipal Bond N,Muni National Interm,Very-High-Quality Municipal Bonds,,,,
ALTVX,AB Municipal Income National Advisor,Muni National Interm,Very-High-Quality Municipal Bonds,,," 2,000 ",
IGMWX,Voya GNMA Income W,Intermediate Government,U.S. Government Bonds ,,," 15,000 ",
VFIUX,Vanguard Interm-Term Treasury Adm,Intermediate Government,U.S. Government Bonds ,,," 15,000 ",
VICSX,Vanguard Interm-Term Corp Bd Idx Admiral,Corporate Bond,Very-High-Quality Corporate Bonds ,,," 10,000 ",
VGCAX,Vanguard Global Credit Bond Admiral,Corporate Bond,Very-High-Quality Corporate Bonds ,,," 10,000 ",
PSAIX,PIMCO Global Advantage Strategy Bd Instl,Global Bond,Very-High-Quality Corporate Bonds ,,," 10,000 ",
PFRAX,PIMCO International Bond (USD-Hdg) Adm,Global Bond-USD Hedged,Very-High-Quality Corporate Bonds ,,," 5,000 ",
SWRSX,Schwab Treasury Infl Protected Secs Idx,Inflation-Protected Bond,U.S. Government Bonds ,,," 15,000 ",
VICSX,Vanguard Interm-Term Corp Bd Idx Admiral,Corporate Bond,Very-High-Quality Corporate Bonds ,,," 5,000 ",
ICBFX,Invesco Corporate Bond R6,Corporate Bond,Very-High-Quality Corporate Bonds ,,," 5,000 ",
VTEB,Vanguard Tax-Exempt Bond ETF,municipal bonds,Very-High-Quality Municipal Bonds,,," 5,000 ",
PEX,ProShares Global Listed Private Equity,private equity index,Private Equity ,,," 7,500 ",
VNQ,Vanguard Real Estate ETF,,Private Real Estate,,," 4,000 ",
FREL,Fidelity® MSCI Real Estate ETF,,Private Real Estate,,," 4,000 ",
JPRE,JPMorgan Realty Income ETF,,Private Real Estate,,," 3,500 ",
DFAR,Dimensional US Real Estate ETF,,Private Real Estate,,," 3,500 ",
BPLSX,Boston Partners Long/Short Equity Instl ,,Long/Short Equities ,,, 750 ,
GARIX,Gotham Absolute Return Institutional,,Long/Short Equities ,,, 500 ,
GCHDX,Gotham Hedged Core Institutional,,Long/Short Equities ,,, 500 ,
BLUEX,AMG Veritas Global Real Return I,,Long/Short Equities ,,, 500 ,
