Date,ALTVX,ARKK,BLUEX,BPLSX,C_A_S_H,DFAR,EXAS,FREL,FSMD,GARIX,GCHDX,ICBFX,IGMWX,IGRO,IMCB,ISCF,IVV,JPEM,JPRE,MEAR,MMIN,MMIT,NVTA,PATH,PEX,PFRAX,PSAIX,SCHD,SNDPX,SWRSX,TWLO,VBR,VFIUX,VGCAX,VICSX,VIGI,VNQ,VO,VONG,VTEB
2023-09-11,106383,0,14201,49967,4182856,108467,0,115479,120705,25278,46211,166389,763889,32610,64494,98007,8912,78561,60695,20060,42553,41771,0,0,150754,105820,103413,41027,73529,592300,0,6120,566426,54437,95923,40481,40221,9234,41501,20333
2023-09-12,106383,0,14201,49967,4182856,108467,0,115479,120705,25278,46211,166389,763889,32610,64494,98007,8912,78561,60695,20060,42553,41771,0,0,150754,105820,103413,41027,73529,592300,0,6120,566426,54437,95923,40481,40221,9234,41501,20333
2023-09-13,106383,0,14201,49967,4182856,108467,0,115479,120705,25278,46211,166389,763889,32610,64494,98007,8912,78561,60695,20060,42553,41771,0,0,150754,105820,103413,41027,73529,592300,0,6120,566426,54437,95923,40481,40221,9234,41501,20333
2023-09-14,106383,0,14201,49967,4182856,108467,0,115479,120705,25278,46211,166389,763889,32610,64494,98007,8912,78561,60695,20060,42553,41771,0,0,150754,105820,103413,41027,73529,592300,0,6120,566426,54437,95923,40481,40221,9234,41501,20333
2023-09-15,106383,0,14201,49967,4182856,108467,0,115479,120705,25278,46211,166389,763889,32610,64494,98007,8912,78561,60695,20060,42553,41771,0,0,150754,105820,103413,41027,73529,592300,0,6120,566426,54437,95923,40481,40221,9234,41501,20333
2023-09-18,106383,0,14201,49967,4182856,108467,0,115479,120705,25278,46211,166389,763889,32610,64494,98007,8912,78561,60695,20060,42553,41771,0,0,150754,105820,103413,41027,73529,592300,0,6120,566426,54437,95923,40481,40221,9234,41501,20333
2023-09-19,106383,0,14201,49967,4182856,108467,0,115479,120705,25278,46211,166389,763889,32610,64494,98007,8912,78561,60695,20060,42553,41771,0,0,150754,105820,103413,41027,73529,592300,0,6120,566426,54437,95923,40481,40221,9234,41501,20333
2023-09-20,106383,0,14201,49967,4182856,108467,0,115479,120705,25278,46211,166389,763889,32610,64494,98007,8912,78561,60695,20060,42553,41771,0,0,150754,105820,103413,41027,73529,592300,0,6120,566426,54437,95923,40481,40221,9234,41501,20333
2023-09-21,106383,0,14201,49967,4182856,108467,0,115479,120705,25278,46211,166389,763889,32610,64494,98007,8912,78561,60695,20060,42553,41771,0,0,150754,105820,103413,41027,73529,592300,0,6120,566426,54437,95923,40481,40221,9234,41501,20333
2023-09-22,106383,0,14201,49967,4182856,108467,0,115479,120705,25278,46211,166389,763889,32610,64494,98007,8912,78561,60695,20060,42553,41771,0,0,150754,105820,103413,41027,73529,592300,0,6120,566426,54437,95923,40481,40221,9234,41501,20333
2023-09-25,106383,0,14201,49967,4182856,108467,0,115479,120705,25278,46211,166389,763889,32610,64494,98007,8912,78561,60695,20060,42553,41771,0,0,150754,105820,103413,41027,73529,592300,0,6120,566426,54437,95923,40481,40221,9234,41501,20333
2023-09-26,106383,0,14201,49967,4182856,108467,0,115479,120705,25278,46211,166389,763889,32610,64494,98007,8912,78561,60695,20060,42553,41771,0,0,150754,105820,103413,41027,73529,592300,0,6120,566426,54437,95923,40481,40221,9234,41501,20333
2023-09-27,106383,0,14201,49967,4182856,108467,0,115479,120705,25278,46211,166389,763889,32610,64494,98007,8912,78561,60695,20060,42553,41771,0,0,150754,105820,103413,41027,73529,592300,0,6120,566426,54437,95923,40481,40221,9234,41501,20333
2023-09-28,106383,0,14201,49967,4182856,108467,0,115479,120705,25278,46211,166389,763889,32610,64494,98007,8912,78561,60695,20060,42553,41771,0,0,150754,105820,103413,41027,73529,592300,0,6120,566426,54437,95923,40481,40221,9234,41501,20333
2023-09-29,106383,0,14201,49967,4182856,108467,0,115479,120705,25278,46211,166389,763889,32610,64494,98007,8912,78561,60695,20060,42553,41771,0,0,150754,105820,103413,41027,73529,592300,0,6120,566426,54437,95923,40481,40221,9234,41501,20333
2023-10-02,106383,0,14201,49967,4182856,108467,0,115479,120705,25278,46211,166389,763889,32610,64494,98007,8912,78561,60695,20060,42553,41771,0,0,150754,105820,103413,41027,73529,592300,0,6120,566426,54437,95923,40481,40221,9234,41501,20333
2023-10-03,106383,0,14201,49967,4182856,108467,0,115479,120705,25278,46211,166389,763889,32610,64494,98007,8912,78561,60695,20060,42553,41771,0,0,150754,105820,103413,41027,73529,592300,0,6120,566426,54437,95923,40481,40221,9234,41501,20333
2023-10-04,106383,0,14201,49967,4182856,108467,0,115479,120705,25278,46211,166389,763889,32610,64494,98007,8912,78561,60695,20060,42553,41771,0,0,150754,105820,103413,41027,73529,592300,0,6120,566426,54437,95923,40481,40221,9234,41501,20333
2023-10-05,106383,0,14201,49967,4182856,108467,0,115479,120705,25278,46211,166389,763889,32610,64494,98007,8912,78561,60695,20060,42553,41771,0,0,150754,105820,103413,41027,73529,592300,0,6120,566426,54437,95923,40481,40221,9234,41501,20333
2023-10-06,106383,0,14201,49967,4182856,108467,0,115479,120705,25278,46211,166389,763889,32610,64494,98007,8912,78561,60695,20060,42553,41771,0,0,150754,105820,103413,41027,73529,592300,0,6120,566426,54437,95923,40481,40221,9234,41501,20333
2023-10-09,106383,0,14201,49967,4182856,108467,0,115479,120705,25278,46211,166389,763889,32610,64494,98007,8912,78561,60695,20060,42553,41771,0,0,150754,105820,103413,41027,73529,592300,0,6120,566426,54437,95923,40481,40221,9234,41501,20333
2023-10-10,106383,0,14201,49967,4182856,108467,0,115479,120705,25278,46211,166389,763889,32610,64494,98007,8912,78561,60695,20060,42553,41771,0,0,150754,105820,103413,41027,73529,592300,0,6120,566426,54437,95923,40481,40221,9234,41501,20333
2023-10-11,106383,0,14201,49967,4182856,108467,0,115479,120705,25278,46211,166389,763889,32610,64494,98007,8912,78561,60695,20060,42553,41771,0,0,150754,105820,103413,41027,73529,592300,0,6120,566426,54437,95923,40481,40221,9234,41501,20333
2023-10-12,106383,0,14201,49967,4182856,108467,0,115479,120705,25278,46211,166389,763889,32610,64494,98007,8912,78561,60695,20060,42553,41771,0,0,150754,105820,103413,41027,73529,592300,0,6120,566426,54437,95923,40481,40221,9234,41501,20333
2023-10-13,106383,26476,14201,49967,3182856,108467,7660,115479,89079,25278,46211,166389,763889,32610,47619,98007,8912,78561,60695,20060,42553,41771,814332,32489,150754,105820,103413,41027,73529,592300,8996,6120,566426,54437,95923,40481,40221,9234,41501,20333
2023-10-16,106383,26476,14201,49967,3182856,108467,7660,115479,89079,25278,46211,166389,763889,32610,47619,98007,8912,78561,60695,20060,42553,41771,814332,32489,150754,105820,103413,41027,73529,592300,8996,6120,566426,54437,95923,40481,40221,9234,41501,20333
2023-10-17,106383,26476,14201,49967,3182856,108467,7660,115479,89079,25278,46211,166389,763889,32610,47619,98007,8912,78561,60695,20060,42553,41771,814332,32489,150754,105820,103413,41027,73529,592300,8996,6120,566426,54437,95923,40481,40221,9234,41501,20333
2023-10-18,106383,26476,14201,49967,3182856,108467,7660,115479,89079,25278,46211,166389,763889,32610,47619,98007,8912,78561,60695,20060,42553,41771,814332,32489,150754,105820,103413,41027,73529,592300,8996,6120,566426,54437,95923,40481,40221,9234,41501,20333
2023-10-19,106383,26476,14201,49967,3182856,108467,7660,115479,89079,25278,46211,166389,763889,32610,47619,98007,8912,78561,60695,20060,42553,41771,814332,32489,150754,105820,103413,41027,73529,592300,8996,6120,566426,54437,95923,40481,40221,9234,41501,20333
2023-10-20,106383,26476,14201,49967,3182856,108467,7660,115479,89079,25278,46211,166389,763889,32610,47619,98007,8912,78561,60695,20060,42553,41771,814332,32489,150754,105820,103413,41027,73529,592300,8996,6120,566426,54437,95923,40481,40221,9234,41501,20333
2023-10-23,106383,26476,14201,49967,3182856,108467,7660,115479,89079,25278,46211,166389,763889,32610,47619,98007,8912,78561,60695,20060,42553,41771,814332,32489,150754,105820,103413,41027,73529,592300,8996,6120,566426,54437,95923,40481,40221,9234,41501,20333
